epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5299,2.07313,3.50357,1.72592,0.04442,0.43692,0.05564,0.02014,1.53494,3.49362,1.34572,8.335e-05,8.335e-05,8.335e-05
2,27.7067,1.7152,3.41588,1.5299,0.05285,0.53537,0.071,0.02776,1.336,3.4624,1.21981,0.000179739,0.000179739,0.000179739
3,39.731,1.55713,3.04905,1.41918,0.0607,0.62408,0.12149,0.05784,1.16937,3.36925,1.0918,0.000272168,0.000272168,0.000272168
4,51.7933,1.46437,2.92468,1.28534,0.06382,0.67247,0.14812,0.07587,1.05129,3.18318,0.99757,0.000360635,0.000360635,0.000360635
5,63.5477,1.29781,2.41025,1.25058,0.06515,0.68053,0.29286,0.15672,0.99546,3.05623,0.97905,0.000445142,0.000445142,0.000445142
6,75.3529,1.23115,2.44298,1.12434,0.06495,0.67247,0.39873,0.22558,1.01804,2.9,0.99427,0.000525688,0.000525688,0.000525688
7,88.4754,1.20433,2.20156,1.12173,0.9314,0.28019,0.43466,0.25589,1.00193,2.65672,0.99695,0.000602274,0.000602274,0.000602274
8,101.064,1.24499,2.06487,1.21546,0.9314,0.28019,0.43466,0.25589,1.00193,2.65672,0.99695,0.000674898,0.000674898,0.000674898
9,113.75,1.19183,2.11396,1.11277,0.93435,0.43069,0.47233,0.29813,0.92534,2.39921,0.9783,0.000743562,0.000743562,0.000743562
10,126.424,1.10442,2.26144,1.11759,0.95046,0.45016,0.50255,0.34252,0.89156,2.11657,0.96284,0.000808265,0.000808265,0.000808265
11,138.925,1.15413,1.7587,1.13098,0.95046,0.45016,0.50255,0.34252,0.89156,2.11657,0.96284,0.000869007,0.000869007,0.000869007
12,151.386,1.14842,1.6979,1.09191,0.92555,0.47525,0.53716,0.37384,0.84659,1.88732,0.93193,0.000925788,0.000925788,0.000925788
13,165.935,1.15794,1.61645,1.06932,0.92555,0.47525,0.53716,0.37384,0.84659,1.88732,0.93193,0.000978609,0.000978609,0.000978609
14,181.892,1.09639,1.66574,1.04775,0.92555,0.47525,0.53716,0.37384,0.84659,1.88732,0.93193,0.00102747,0.00102747,0.00102747
15,199.052,1.0604,1.5158,1.09832,0.9167,0.4703,0.56897,0.41483,0.82432,1.7744,0.89945,0.00107237,0.00107237,0.00107237
